feature,n_pairs,mean_delta_ai_minus_real,median_delta,std_delta,cohens_dz,direction_consistency_ai_gt_real,exact_signflip_p,q_fdr
qwt_HL3_magnitude_energy,8,-0.027813522232463583,-0.024730224162340164,0.024741270696984136,-1.124175171643627,0.125,0.0234375,0.05084425403225806
qwt_HL3_quaternion_skewness,8,0.31868937611579895,0.17913269996643066,0.36724081965994365,0.8677939898154509,0.875,0.0234375,0.05084425403225806
qwt_LH2_phase_gb_circular_coherence,8,0.2596067093836609,0.328712928108871,0.19165240521373,1.3545705784080746,0.875,0.0234375,0.05084425403225806
HL2_energy,8,-0.0036394778871908784,-0.003285500453785062,0.00325757428394619,-1.1172355777508332,0.25,0.03125,0.061810661764705885
LH2_energy,8,-0.002122247351508122,-0.0017861522210296243,0.002173533417694474,-0.976404289085763,0.25,0.03125,0.061810661764705885
glcm_contrast_mean,8,-2.0034972955799484,-1.9314657516165004,1.867945841421593,-1.0725671222112063,0.25,0.03125,0.061810661764705885
glcm_correlation_mean,8,0.056882443617247036,0.02493526040381694,0.08453972971767904,0.6728486571604418,0.75,0.03125,0.061810661764705885
qwt_HH2_magnitude_std,8,-0.01583196339197457,-0.015895068645477295,0.016337732249380864,-0.9690428971606226,0.25,0.03125,0.061810661764705885
qwt_HH3_magnitude_energy,8,-0.010843542637303472,-0.007131531368941069,0.011679733590171234,-0.9284066758533399,0.25,0.03125,0.061810661764705885
qwt_HL2_magnitude_energy,8,-0.0061343836423475295,-0.005244677769951522,0.006353524996603845,-0.9655086972391778,0.25,0.03125,0.061810661764705885
qwt_HL3_magnitude_std,8,-0.033330720383673906,-0.03400270640850067,0.03476530173214519,-0.9587352539171314,0.125,0.03125,0.061810661764705885
qwt_LH2_magnitude_energy,8,-0.0106072211638093,-0.009391494560986757,0.009692603550480855,-1.0943624288938414,0.25,0.03125,0.061810661764705885
qwt_LH2_phase_gb_std,8,-0.22481049597263336,-0.29537761211395264,0.18284057375546767,-1.229543811612058,0.25,0.03125,0.061810661764705885
qwt_LH3_phase_rb_std,8,-0.06560666859149933,-0.04850292205810547,0.09022932827857859,-0.7271102405743506,0.125,0.03125,0.061810661764705885
spectral_centroid,8,-0.019977277726866305,-0.006463995669037104,0.029217865047801845,-0.6837350262992354,0.25,0.03125,0.061810661764705885
glcm_contrast_std,8,-0.601718964831081,-0.5845232525770827,0.6237372984718423,-0.9646993474741589,0.25,0.0390625,0.07348120629370629
qwt_HH3_magnitude_entropy,8,-0.46418771147727966,-0.5284929275512695,0.43147701862906057,-1.075810973553473,0.25,0.0390625,0.07348120629370629
qwt_HL3_phase_rb_circular_coherence,8,0.10112360981293023,0.1108339224010706,0.09781445606682136,1.0338309272388964,0.875,0.0390625,0.07348120629370629
qwt_HL3_phase_rg_circular_coherence,8,0.10887772554997355,0.11426984705030918,0.10382610092427304,1.0486546694976533,0.75,0.0390625,0.07348120629370629
qwt_LH3_magnitude_entropy,8,-0.30655422806739807,-0.38016629219055176,0.278323586064191,-1.1014310084259122,0.125,0.0390625,0.07348120629370629
qwt_LH3_quaternion_skewness,8,0.49206261336803436,0.40969616174697876,0.60880259972664,0.8082465705451597,0.875,0.0390625,0.07348120629370629
qwt_detail_magnitude_energy_ratio,8,-0.0012729569259282223,-0.0013361448934392159,0.0012926738285041978,-0.9847471944266167,0.25,0.0390625,0.07348120629370629
HL1_energy,8,-0.0011663416189549025,-0.000717179209459573,0.0015160763533707481,-0.7693158833074155,0.25,0.046875,0.0813508064516129
LH1_energy,8,-0.00048530736785323825,-0.000519656838150695,0.0005625901461527144,-0.8626304089611662,0.25,0.046875,0.0813508064516129
gradient_std,8,-0.006211400264874101,-0.006479366682469845,0.006554265027577097,-0.9476882974276457,0.25,0.046875,0.0813508064516129
lbp_dominant_bin,8,0.1059870719909668,0.12861061096191406,0.12320582552901048,0.8602439984951094,0.75,0.046875,0.0813508064516129
qwt_HH3_magnitude_std,8,-0.021975462324917316,-0.02585505321621895,0.023622775324549653,-0.9302658990317539,0.25,0.046875,0.0813508064516129
qwt_HL2_quaternion_kurtosis,8,2.857067346572876,2.904783248901367,3.3398243846561937,0.8554543645165303,0.875,0.046875,0.0813508064516129
qwt_HL3_quaternion_kurtosis,8,3.42509126663208,2.2096943855285645,4.079578269545233,0.83956993599093,0.75,0.046875,0.0813508064516129
qwt_LH1_magnitude_energy,8,-0.0033867541642393917,-0.0021278952481225133,0.004513398771593605,-0.7503777830478706,0.25,0.046875,0.0813508064516129
qwt_LH2_magnitude_std,8,-0.026437553577125072,-0.018935516476631165,0.029829263003861052,-0.8862959025740273,0.25,0.046875,0.0813508064516129
qwt_LH3_phase_gb_circular_coherence,8,0.12493232532870024,0.1188969537615776,0.12779173253811218,0.9776244741923413,0.75,0.046875,0.0813508064516129
qwt_LH3_phase_rb_circular_coherence,8,0.08629202947486192,0.05162836238741875,0.11574498612812421,0.7455357883005034,0.75,0.046875,0.0813508064516129
qwt_LH3_phase_rg_circular_coherence,8,0.09434728976339102,0.07646394148468971,0.11809289488712926,0.7989243540313429,0.75,0.046875,0.0813508064516129
HL3_absmean,8,-0.016771985683590174,-0.01803121715784073,0.02219026666231356,-0.7558262340341576,0.25,0.0546875,0.09137228260869565
glcm_ASM_std,8,0.0013099378586634116,0.0008513868909461528,0.0016976685229917218,0.7716099114301591,0.875,0.0546875,0.09137228260869565
glcm_dissimilarity_std,8,-0.054954870619813516,-0.057040413735501436,0.060732291819080186,-0.904870686973621,0.25,0.0546875,0.09137228260869565
glcm_entropy_mean,8,-0.5025281866568122,-0.3770070172272133,0.5704614329855863,-0.8809152689372245,0.125,0.0546875,0.09137228260869565
qwt_HL2_magnitude_std,8,-0.01410813583061099,-0.018152661621570587,0.01682574571137581,-0.8384850260201273,0.25,0.0546875,0.09137228260869565
qwt_HL2_quaternion_skewness,8,0.2409897893667221,0.27022528648376465,0.27901315585472214,0.8637219583014996,0.875,0.0546875,0.09137228260869565
dct_dc_ratio_mean,8,0.01693655550479889,0.010014921426773071,0.025305352829076793,0.6692874673273931,0.625,0.0625,0.10251524390243902
hp_std,8,-0.008128753921482712,-0.006019220687448978,0.009310514718938411,-0.8730724526913756,0.25,0.0625,0.10251524390243902
qwt_HL1_magnitude_energy,8,-0.0013790548000542913,-0.0015092139365151525,0.0016732330582022697,-0.8241857243341552,0.25,0.0625,0.10251524390243902
qwt_HH2_quaternion_skewness,8,0.6444210559129715,0.6070621013641357,0.7516765614740737,0.8573116270237707,0.625,0.0703125,0.11394013554216867
qwt_HL3_phase_rb_std,8,-0.07593213021755219,-0.0755002498626709,0.08542651435512853,-0.8888590479285269,0.375,0.0703125,0.11394013554216867
glcm_correlation_std,8,-0.022917682506111987,-0.006554501230398257,0.04236896814039599,-0.5409072609502968,0.25,0.078125,0.12509300595238096
laplacian_std,8,-0.0035000765055883676,-0.0024187788367271423,0.004853891154552237,-0.7210867310664372,0.25,0.078125,0.12509300595238096
HH1_energy,8,-0.00029190101668064017,-0.00011693935084622353,0.0003935147686852624,-0.7417790637334527,0.25,0.0859375,0.13440225290697674
qwt_HH1_magnitude_energy,8,-0.0008494248963870632,-0.0003404031813261099,0.0011669760477794671,-0.727885459177467,0.25,0.0859375,0.13440225290697674
qwt_LH1_magnitude_std,8,-0.017528509721159935,-0.01519276574254036,0.023086454364659108,-0.7592551651410226,0.25,0.0859375,0.13440225290697674
qwt_LH3_quaternion_kurtosis,8,5.618692755699158,2.417336940765381,8.436805950958819,0.6659739228754703,0.75,0.0859375,0.13440225290697674
glcm_ASM_mean,8,0.014696044249230853,0.015947131272433815,0.021180028698378164,0.6938632831199225,0.75,0.09375,0.14410714285714285
glcm_energy_mean,8,0.03503196402095274,0.03513070738181684,0.050129141275695455,0.6988343133246049,0.75,0.09375,0.14410714285714285
qwt_LH3_magnitude_mean,8,-0.026585301384329796,-0.03139247000217438,0.0388600774520733,-0.6841288830964847,0.25,0.09375,0.14410714285714285
dct_highfreq_ratio_mean,8,-0.002195998662045895,-0.00037878716830164194,0.003456962814122754,-0.635239306906793,0.25,0.1015625,0.15348490168539325
qwt_HH2_quaternion_kurtosis,8,8.731568038463593,2.914785385131836,13.04667524885606,0.6692561799780509,0.75,0.1015625,0.15348490168539325
qwt_HH3_quaternion_kurtosis,8,5.616369128227234,3.525284767150879,8.983400799272392,0.6251940944995051,0.75,0.1015625,0.15348490168539325
qwt_HH3_quaternion_skewness,8,0.37129975855350494,0.20591551065444946,0.5898848288877703,0.6294444955527875,0.75,0.1171875,0.17610858938547486
crossdiff_std,8,-0.009589940949808806,-0.0057257963344454765,0.013877082197396272,-0.6910632086338832,0.375,0.125,0.18475274725274726
qwt_HH1_magnitude_std,8,-0.008369907678570598,-0.005869124550372362,0.012336047235208866,-0.6784918636402161,0.375,0.125,0.18475274725274726
qwt_HL3_phase_rg_std,8,-0.06909091770648956,-0.04619574546813965,0.10084251965397657,-0.6851367651617882,0.5,0.125,0.18475274725274726
qwt_LH3_phase_rg_std,8,-0.054017290472984314,-0.03275442123413086,0.10555112852432422,-0.5117642153919373,0.125,0.1328125,0.1952271174863388
g_std,8,-0.009688202291727066,-0.008436538279056549,0.017081332890976166,-0.5671806968205163,0.25,0.1484375,0.21583614864864864
synth_b_p4_d_mean,8,0.02114513743435964,0.010880140122026205,0.03665269292669409,0.5769054262029318,0.75,0.1484375,0.21583614864864864
qwt_HL1_magnitude_std,8,-0.006839070236310363,-0.009545745328068733,0.0117823967714095,-0.580448135383258,0.25,0.1640625,0.23727318548387097
glcm_energy_std,8,0.00108300181444474,0.0008855912299713681,0.002272451365288366,0.47657865465794513,0.625,0.21875,0.3113425925925926
high_freq_ratio,8,-0.0076792889085481875,-0.0022701036650687456,0.01669157846435329,-0.46006966476826366,0.375,0.21875,0.3113425925925926
synth_r_p4_d_mean,8,0.019146277627442032,0.003635250963270664,0.03710092434635572,0.516059315630574,0.5,0.21875,0.3113425925925926
intensity_std,8,-0.0084692956879735,-0.008249573409557343,0.018630580255679402,-0.4545910847511952,0.25,0.2421875,0.34288651315789476
