feature,mean_delta_ai_minus_real,median_delta,cohens_dz,direction_consistency_ai_gt_real,exact_signflip_p,q_fdr,abs_effect
qwt_HH1_quaternion_skewness,1.4437418431043625,1.169432282447815,0.9703339651549301,0.875,0.015625,0.03686951754385965,0.9703339651549301
qwt_HH2_magnitude_std,-0.01583196339197457,-0.015895068645477295,-0.9690428971606226,0.25,0.03125,0.061810661764705885,0.9690428971606226
qwt_HL2_magnitude_energy,-0.0061343836423475295,-0.005244677769951522,-0.9655086972391778,0.25,0.03125,0.061810661764705885,0.9655086972391778
glcm_contrast_std,-0.601718964831081,-0.5845232525770827,-0.9646993474741589,0.25,0.0390625,0.07348120629370629,0.9646993474741589
detail_energy_ratio,-0.0016988618437024697,-0.0015880947526260157,-0.9636638588902031,0.125,0.0234375,0.05084425403225806,0.9636638588902031
qwt_HL3_magnitude_std,-0.033330720383673906,-0.03400270640850067,-0.9587352539171314,0.125,0.03125,0.061810661764705885,0.9587352539171314
qwt_LH1_magnitude_mean,-0.015730223152786493,-0.011413490399718285,-0.948350406112456,0.0,0.0078125,0.025320030120481927,0.948350406112456
gradient_std,-0.006211400264874101,-0.006479366682469845,-0.9476882974276457,0.25,0.046875,0.0813508064516129,0.9476882974276457
HL1_absmean,-0.009138234599959105,-0.006482873344793916,-0.9451811014190284,0.0,0.0078125,0.025320030120481927,0.9451811014190284
HH3_energy,-0.0037362534349085763,-0.002451009990181774,-0.942058500047868,0.125,0.015625,0.03686951754385965,0.942058500047868
qwt_HH3_magnitude_std,-0.021975462324917316,-0.02585505321621895,-0.9302658990317539,0.25,0.046875,0.0813508064516129,0.9302658990317539
qwt_HH3_magnitude_energy,-0.010843542637303472,-0.007131531368941069,-0.9284066758533399,0.25,0.03125,0.061810661764705885,0.9284066758533399
glcm_dissimilarity_std,-0.054954870619813516,-0.057040413735501436,-0.904870686973621,0.25,0.0546875,0.09137228260869565,0.904870686973621
qwt_HH1_quaternion_kurtosis,24.705704033374786,13.299678802490234,0.8894022048828459,0.875,0.015625,0.03686951754385965,0.8894022048828459
qwt_HL3_phase_rb_std,-0.07593213021755219,-0.0755002498626709,-0.8888590479285269,0.375,0.0703125,0.11394013554216867,0.8888590479285269
qwt_LH2_magnitude_std,-0.026437553577125072,-0.018935516476631165,-0.8862959025740273,0.25,0.046875,0.0813508064516129,0.8862959025740273
glcm_entropy_mean,-0.5025281866568122,-0.3770070172272133,-0.8809152689372245,0.125,0.0546875,0.09137228260869565,0.8809152689372245
hp_std,-0.008128753921482712,-0.006019220687448978,-0.8730724526913756,0.25,0.0625,0.10251524390243902,0.8730724526913756
qwt_HL3_quaternion_skewness,0.31868937611579895,0.17913269996643066,0.8677939898154509,0.875,0.0234375,0.05084425403225806,0.8677939898154509
qwt_HL2_quaternion_skewness,0.2409897893667221,0.27022528648376465,0.8637219583014996,0.875,0.0546875,0.09137228260869565,0.8637219583014996
